+-------+-----+-----+-----+-----+-----+--------+-------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)   | AVG(BODY) |
+-------+-----+-----+-----+-----+-----+--------+-------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/chair/27006              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 546.000   | 546.000   | 546.000      | 546.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/estate/req_doc/11153     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 0.000     | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/estate/28039             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 587.000   | 587.000   | 587.000      | 587.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/chair/93                 | 0.024 | 0.024 | 0.024   | 0.024 | 0.024 | 0.024 | 0.024 | 0.000  | 483.000   | 483.000   | 483.000      | 483.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/chair/23                 | 0.024 | 0.024 | 0.024   | 0.024 | 0.024 | 0.024 | 0.024 | 0.000  | 547.000   | 547.000   | 547.000      | 547.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/estate/44                | 0.200 | 0.200 | 0.200   | 0.200 | 0.200 | 0.200 | 0.200 | 0.000  | 596.000   | 596.000   | 596.000      | 596.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/estate/7956              | 0.004 | 0.004 | 0.004   | 0.004 | 0.004 | 0.004 | 0.004 | 0.000  | 605.000   | 605.000   | 605.000      | 605.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/estate/40                | 0.248 | 0.248 | 0.248   | 0.248 | 0.248 | 0.248 | 0.248 | 0.000  | 642.000   | 642.000   | 642.000      | 642.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/chair/34                 | 0.252 | 0.252 | 0.252   | 0.252 | 0.252 | 0.252 | 0.252 | 0.000  | 523.000   | 523.000   | 523.000      | 523.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/chair/28                 | 0.288 | 0.288 | 0.288   | 0.288 | 0.288 | 0.288 | 0.288 | 0.000  | 536.000   | 536.000   | 536.000      | 536.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/chair/buy/4402           | 0.008 | 0.008 | 0.008   | 0.008 | 0.008 | 0.008 | 0.008 | 0.000  | 0.000     | 0.000     | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/chair/95                 | 0.448 | 0.448 | 0.448   | 0.448 | 0.448 | 0.448 | 0.448 | 0.000  | 516.000   | 516.000   | 516.000      | 516.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/estate/52                | 0.444 | 0.444 | 0.444   | 0.444 | 0.444 | 0.444 | 0.444 | 0.000  | 569.000   | 569.000   | 569.000      | 569.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/recommended_estate/4402  | 0.216 | 0.216 | 0.216   | 0.216 | 0.216 | 0.216 | 0.216 | 0.000  | 13392.000 | 13392.000 | 13392.000    | 13392.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/estate/63                | 0.452 | 0.452 | 0.452   | 0.452 | 0.452 | 0.452 | 0.452 | 0.000  | 663.000   | 663.000   | 663.000      | 663.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/estate/32                | 0.456 | 0.456 | 0.456   | 0.456 | 0.456 | 0.456 | 0.456 | 0.000  | 599.000   | 599.000   | 599.000      | 599.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/chair/4402               | 0.036 | 0.036 | 0.036   | 0.036 | 0.036 | 0.036 | 0.036 | 0.000  | 570.000   | 570.000   | 570.000      | 570.000   |
